村志代码 Gazetteer Code,村志书名 Gazetteer Title,Is the data available?,Start Year,End Year,Data,Category,Division1,Division2,Division3,Division4,Subdivision
0060,平地村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0060,平地村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0060,平地村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,文盲 Illiterate,,,人数 number of people
0060,平地村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,小学 Elementary School,,,人数 number of people
0060,平地村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,初中 Junior High School,,,人数 number of people
0060,平地村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,中专高中 High School,,,人数 number of people
0060,平地村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,大专以上 College/University or Higher,,,人数 number of people
0061,西高庄村志,No,n/a,n/a,n/a,在校生 Students in School,小学 Elementary School,,,,
0061,西高庄村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0061,西高庄村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0061,西高庄村志,Yes,1995,2010,20,新入学生 - 大学 Initial Student Enrollment - College/University,,,,,
0061,西高庄村志,No,n/a,n/a,n/a,老师 Teachers,小学 Elementary School,,,,
0061,西高庄村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0061,西高庄村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0061,西高庄村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,文盲 Illiterate,,,人数 number of people
0061,西高庄村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,小学 Elementary School,,,人数 number of people
0061,西高庄村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,初中 Junior High School,,,人数 number of people
0061,西高庄村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,中专高中 High School,,,人数 number of people
0061,西高庄村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,大专以上 College/University or Higher,,,人数 number of people
0067,西洞头村志,No,n/a,n/a,n/a,在校生 Students in School,小学 Elementary School,,,,
0067,西洞头村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0067,西洞头村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0067,西洞头村志,No,n/a,n/a,n/a,新入学生 - 大学 Initial Student Enrollment - College/University,,,,,
0067,西洞头村志,No,n/a,n/a,n/a,老师 Teachers,小学 Elementary School,,,,
0067,西洞头村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0067,西洞头村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0067,西洞头村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,文盲 Illiterate,,,人数 number of people
0067,西洞头村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,小学 Elementary School,,,人数 number of people
0067,西洞头村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,初中 Junior High School,,,人数 number of people
0067,西洞头村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,中专高中 High School,,,人数 number of people
0067,西洞头村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,大专以上 College/University or Higher,,,人数 number of people
0068,五河苗族村志,No,n/a,n/a,n/a,在校生 Students in School,小学 Elementary School,,,,
0068,五河苗族村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0068,五河苗族村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0068,五河苗族村志,No,n/a,n/a,n/a,新入学生 - 大学 Initial Student Enrollment - College/University,,,,,
0068,五河苗族村志,No,n/a,n/a,n/a,老师 Teachers,小学 Elementary School,,,,
0068,五河苗族村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0068,五河苗族村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0068,五河苗族村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,文盲 Illiterate,,,人数 number of people
0068,五河苗族村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,小学 Elementary School,,,人数 number of people
0068,五河苗族村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,初中 Junior High School,,,人数 number of people
0068,五河苗族村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,中专高中 High School,,,人数 number of people
0068,五河苗族村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,大专以上 College/University or Higher,,,人数 number of people
0069,五一村志,No,n/a,n/a,n/a,在校生 Students in School,小学 Elementary School,,,,
0069,五一村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0069,五一村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0069,五一村志,No,n/a,n/a,n/a,新入学生 - 大学 Initial Student Enrollment - College/University,,,,,
0069,五一村志,No,n/a,n/a,n/a,老师 Teachers,小学 Elementary School,,,,
0069,五一村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0069,五一村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0069,五一村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,文盲 Illiterate,,,人数 number of people
0069,五一村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,小学 Elementary School,,,人数 number of people
0069,五一村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,初中 Junior High School,,,人数 number of people
0069,五一村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,中专高中 High School,,,人数 number of people
